#alpha      Au/Ap
0.3449     0.2952
0.2307     0.1104
0.3827     0.2011
0.3027     0.2820
0.2033     0.1633
0.3242     0.0990
0.3372     0.2896
0.3093     0.3128
0.3422     0.2728
0.3757     0.3431
0.2607     0.2729
0.2350     0.1398
0.3190     0.2557
0.3049     0.1994
0.3798     0.2110
0.3170     0.1699
0.3139     0.3670
0.2798     0.1945
0.2600     0.0762
0.1935     0.3400
0.2295     0.2750
0.2988     0.3199
0.3546     0.3873
0.3197     0.2320
0.3830     0.3599
0.3296     0.2291
0.2866     0.2873
0.2184     0.3439
0.3772     0.3938
0.3106     0.3234
0.4254     0.4228
0.2889     0.1954
0.2365     0.2917
0.3618     0.4260
0.3257     0.3022
0.3531     0.1224
0.4130     0.3329
0.3792     0.3285
0.2758     0.2562
0.3253     0.2337
0.2867     0.2663
0.3388     0.3273
0.2976     0.2690
0.2903     0.1992
0.3962     0.3637
0.4266     0.4899
0.2076     0.2125
0.2742     0.3149
0.2137     0.0584
0.2857     0.2251
0.1953     0.0459
0.3152     0.3333
0.2300     0.0509
0.3225     0.3310
0.2766     0.0436
0.2628     0.2141
0.1807     0.1139
0.4222     0.4169
0.2444     0.0089
0.3343     0.2344
0.2733     0.1486
0.2797     0.1039
0.2915     0.1737
