 Disk integrated flux for G2V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
=============================================================
  200.500  2.738e+05  2.828e+04  3.434e+04  1.025e+02
  201.500  3.035e+05  3.136e+04  3.807e+04  1.336e+02
  202.500  2.566e+05  2.827e+04  3.430e+04  1.254e+02
  203.500  3.440e+05  3.448e+04  4.187e+04  1.225e+02
  204.500  3.892e+05  3.778e+04  4.588e+04  1.396e+02
  205.500  3.941e+05  4.029e+04  4.891e+04  1.534e+02
  206.500  3.983e+05  4.111e+04  4.990e+04  1.579e+02
  207.400  3.967e+05  4.061e+04  4.931e+04  1.318e+02
  207.800  5.109e+05  4.724e+04  5.737e+04  1.367e+02
  208.500  5.158e+05  4.917e+04  5.971e+04  1.434e+02
  209.500  8.202e+05  6.587e+04  8.004e+04  1.444e+02
  210.500  1.689e+06  1.084e+05  1.320e+05  1.459e+02
  211.500  2.344e+06  1.442e+05  1.756e+05  1.531e+02
  212.500  2.028e+06  1.302e+05  1.585e+05  1.852e+02
  213.500  2.124e+06  1.483e+05  1.805e+05  2.399e+02
  214.500  2.906e+06  1.795e+05  2.187e+05  1.681e+02
  215.500  2.698e+06  1.652e+05  2.013e+05  1.905e+02
  216.500  2.221e+06  1.442e+05  1.755e+05  1.994e+02
  217.500  2.234e+06  1.440e+05  1.753e+05  2.079e+02
  218.500  3.364e+06  1.975e+05  2.407e+05  1.858e+02
  219.500  3.203e+06  1.999e+05  2.434e+05  2.243e+02
  220.500  3.122e+06  2.011e+05  2.449e+05  2.171e+02
  221.500  2.215e+06  1.628e+05  1.980e+05  2.447e+02
  222.500  3.041e+06  2.107e+05  2.565e+05  2.319e+02
  223.500  4.372e+06  3.064e+05  3.733e+05  2.905e+02
  224.500  4.099e+06  2.982e+05  3.632e+05  3.374e+02
  225.500  2.871e+06  2.319e+05  2.823e+05  3.574e+02
  226.500  2.259e+06  1.785e+05  2.172e+05  2.880e+02
  227.500  2.681e+06  2.029e+05  2.468e+05  4.051e+02
  228.500  4.283e+06  3.119e+05  3.798e+05  4.303e+02
  229.500  3.097e+06  2.508e+05  3.050e+05  6.097e+02
  230.500  4.260e+06  2.925e+05  3.561e+05  3.186e+02
  231.500  3.617e+06  3.023e+05  3.678e+05  6.043e+02
  232.500  3.109e+06  2.710e+05  3.296e+05  6.394e+02
  233.500  2.272e+06  2.657e+05  3.228e+05  9.783e+02
  234.500  1.351e+06  1.853e+05  2.249e+05  7.471e+02
  235.500  3.102e+06  2.853e+05  3.470e+05  6.004e+02
  236.500  1.570e+06  2.108e+05  2.558e+05  8.674e+02
  237.500  2.105e+06  2.444e+05  2.969e+05  7.810e+02
  238.500  1.211e+06  2.041e+05  2.474e+05  1.706e+03
  239.500  1.569e+06  2.311e+05  2.803e+05  1.364e+03
  240.500  1.623e+06  2.605e+05  3.158e+05  2.040e+03
  241.500  1.966e+06  2.483e+05  3.013e+05  1.176e+03
  242.500  4.200e+06  4.109e+05  4.997e+05  1.149e+03
  243.500  4.248e+06  4.389e+05  5.336e+05  1.579e+03
  244.500  5.316e+06  5.393e+05  6.559e+05  1.924e+03
  245.500  5.835e+06  5.839e+05  7.100e+05  2.280e+03
  246.500  4.402e+06  4.290e+05  5.212e+05  1.971e+03
  247.500  3.763e+06  3.986e+05  4.838e+05  2.701e+03
