 Disk integrated flux for K0V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
============================================================
  200.500  9.417e+03  3.613e+03  4.079e+03  3.343e+01
  201.500  1.006e+04  4.021e+03  4.538e+03  3.798e+01
  202.500  1.036e+04  3.924e+03  4.429e+03  3.725e+01
  203.500  1.100e+04  4.336e+03  4.894e+03  4.495e+01
  204.500  1.146e+04  4.552e+03  5.137e+03  4.874e+01
  205.500  1.256e+04  4.944e+03  5.579e+03  5.505e+01
  206.500  1.307e+04  5.112e+03  5.769e+03  5.589e+01
  207.400  1.245e+04  5.085e+03  5.739e+03  5.631e+01
  207.800  1.396e+04  5.205e+03  5.874e+03  6.559e+01
  208.500  1.506e+04  5.454e+03  6.154e+03  7.161e+01
  209.500  1.860e+04  5.909e+03  6.666e+03  8.188e+01
  210.500  2.164e+04  5.856e+03  6.606e+03  8.541e+01
  211.500  2.378e+04  6.188e+03  6.980e+03  9.244e+01
  212.500  2.404e+04  6.687e+03  7.542e+03  1.025e+02
  213.500  2.799e+04  8.007e+03  9.032e+03  1.179e+02
  214.500  2.748e+04  6.837e+03  7.711e+03  1.063e+02
  215.500  2.853e+04  7.265e+03  8.194e+03  1.208e+02
  216.500  2.876e+04  7.504e+03  8.463e+03  1.214e+02
  217.500  3.039e+04  7.872e+03  8.878e+03  1.312e+02
  218.500  3.165e+04  7.706e+03  8.690e+03  1.302e+02
  219.500  3.579e+04  8.641e+03  9.741e+03  1.733e+02
  220.500  3.624e+04  8.729e+03  9.841e+03  1.653e+02
  221.500  3.770e+04  9.691e+03  1.093e+04  1.802e+02
  222.500  4.009e+04  9.800e+03  1.105e+04  1.771e+02
  223.500  4.968e+04  1.072e+04  1.208e+04  2.353e+02
  224.500  5.298e+04  1.194e+04  1.345e+04  2.638e+02
  225.500  5.321e+04  1.253e+04  1.413e+04  2.789e+02
  226.500  4.575e+04  1.117e+04  1.259e+04  2.249e+02
  227.500  5.169e+04  1.338e+04  1.507e+04  3.227e+02
  228.500  5.983e+04  1.364e+04  1.537e+04  3.432e+02
  229.500  6.427e+04  1.640e+04  1.848e+04  4.378e+02
  230.500  5.601e+04  1.227e+04  1.383e+04  2.811e+02
  231.500  7.388e+04  1.760e+04  1.982e+04  5.004e+02
  232.500  7.082e+04  1.823e+04  2.053e+04  4.988e+02
  233.500  8.527e+04  2.302e+04  2.593e+04  6.237e+02
  234.500  7.201e+04  2.147e+04  2.420e+04  4.743e+02
  235.500  7.417e+04  1.876e+04  2.113e+04  4.982e+02
  236.500  7.916e+04  2.356e+04  2.655e+04  5.695e+02
  237.500  8.143e+04  2.244e+04  2.527e+04  6.033e+02
  238.500  9.208e+04  3.058e+04  3.445e+04  7.730e+02
  239.500  9.378e+04  2.912e+04  3.280e+04  7.953e+02
  240.500  1.142e+05  3.550e+04  3.998e+04  1.055e+03
  241.500  9.778e+04  2.946e+04  3.317e+04  8.438e+02
  242.500  1.177e+05  2.890e+04  3.253e+04  9.772e+02
  243.500  1.333e+05  3.347e+04  3.766e+04  1.221e+03
  244.500  1.574e+05  3.628e+04  4.080e+04  1.412e+03
  245.500  1.694e+05  3.921e+04  4.410e+04  1.562e+03
  246.500  1.343e+05  3.591e+04  4.039e+04  1.386e+03
  247.500  1.502e+05  4.313e+04  4.851e+04  1.743e+03
